request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_222,32438.07,affordable_now,full_payment,2026-01-05:34078,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_224,10114269.45,affordable_with_plan,partial_payment,2025-02-04:10114269.45|2025-02-15:212730.55,2025-02-15,none,Pay 10114269.45 today and the remaining 212730.55 on 2025-02-15.
request_225,9745298.47,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,Use the supplied 3-payment installment option ending 2026-09-18.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_227,7371.14,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of INR 62900.
request_228,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of IDR 26191200.
request_229,517.26,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,Use the supplied 3-payment installment option ending 2024-05-19.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_231,30933.75,not_affordable,not_recommended,none,2026-02-15,none,No payment method accepted by the user provides a safe plan that completes the request by the desired date.
request_232,493.51,affordable_later,wait,2024-08-15:1970.1,,none,"The full amount is not safe to pay today, but becomes safe on 2024-08-15."
request_233,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of IDR 10365700.
request_234,230.4,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-09-15."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_236,5792726.63,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of IDR 16768600.
request_237,22245632.09,affordable_now,full_payment,2026-04-05:23826000,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use the supplied 3-payment installment option ending 2025-02-07.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_240,13796.82,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of INR 52800.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use the supplied 3-payment installment option ending 2024-05-18.
request_242,25.56,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of EUR 600.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_245,23718.24,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-01-15."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use the supplied 3-payment installment option ending 2026-06-02.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_248,941.64,affordable_with_plan,partial_payment,2025-02-07:941.64|2025-04-15:1023.96,2025-04-15,none,Pay 941.64 today and the remaining 1023.96 on 2025-04-15.
request_249,128.77,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-03-15."
request_250,15365.19,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of ZAR 35300.
request_251,27.33,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of EUR 1300.
request_252,4876866.63,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-09-15."
request_253,1553.29,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,Use the supplied 3-payment installment option ending 2024-05-22.
request_254,627.67,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"The full amount is not safe to pay today, but becomes safe on 2025-10-15."
request_255,608352.62,affordable_now,full_payment,2026-04-06:3345000,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_256,151212.64,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,Use the supplied 3-payment installment option ending 2024-08-11.
request_257,371.26,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-01-15."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_259,253.61,affordable_later,wait,2024-11-15:935,2024-11-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-11-15."
request_260,6413526.8,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of IDR 20727700.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_263,5997.09,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of ZAR 24100.
request_264,22630.02,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-06-15."
request_265,0,affordable_now,full_payment,2024-03-06:45970,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_266,774.1,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,Use the supplied 3-payment installment option ending 2025-09-28.
request_267,1626.76,not_affordable,not_recommended,none,2026-03-15,none,No payment method accepted by the user provides a safe plan that completes the request by the desired date.
request_268,1032.18,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use the supplied 3-payment installment option ending 2024-08-15.
request_269,10125.71,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"The full amount is not safe to pay today, but becomes safe on 2025-11-15."
request_270,93.53,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of USD 1400.
request_271,12414.27,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-11-15."
request_272,5406652.06,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use the supplied 3-payment installment option ending 2025-04-09.
request_273,9602432.49,affordable_with_plan,partial_payment,2026-04-07:9602432.49|2026-04-15:6258567.51,2026-04-15,none,Pay 9602432.49 today and the remaining 6258567.51 on 2026-04-15.
request_274,2078.69,not_affordable,not_recommended,none,2025-02-15,none,"The conservative full-payment forecast becomes safe only on 2025-02-15, which is after the desired completion date, and no other eligible plan is available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,The full requested amount can be paid today while maintaining the required minimum balance.
